id,dept,first,last,numratings,overall_rating
1,Arabic,Samar,Abdelgalil,1,5
2,Mathematics,Arash,Islami,5,4.4
3,Human Resources Management,Ayesha,Tabassum,0,
4,Arabic,Alfred,Abadir,10,4.7
5,French Studies,Paawana,Abalo,8,2.4
6,Computer Science,Mehdi,Abbasi,19,2.3
7,Urban Studies,Teresa,Abbruzzese,21,4.8
8,Graduate Studies,Rifaat,Abdalla,7,3.7
9,Kinesiology,Gamal,Abdel-Shehid,35,4.4
10,Sociology,Rawan,Abdelbaki,1,5
11,Management,Majid,Abdi,5,2
12,Kinesiology,Ali,Abdul Sater,67,4.3
13,Accounting,Alwathainani,Abdulaziz,34,2.6
14,History,Thabit,Abdullah,73,4.4
15,Mathematics,Shamim,Abdullah,92,2.7
16,Health,Munira,Abdulwasi,4,5
17,History,Irving,Abella,17,3.5
18,Social Work,Tanya,Aberman,1,5
19,Geography,Anna,Abnizova,4,5
20,Computer Science,Mokhtar,Aboelaze,75,1.9
21,French Studies,Chantal,Abouchar-Rodrigues,10,3
22,Engineering,Khalil,Abousba,2,3.5
23,Social Work,Diana,Abraham,11,2.9
24,Mathematics,Morton,Abramson,71,3.9
25,Computer Science,Khalil,Abuosba,5,1.4
26,Geography,Uma,Acharya,10,3.1
27,Business,Yogendra,Acharya,21,2.4
28,Administration,Yogendra,Acharya,72,3.4
29,Music,Barbara,Ackerman,16,3.5
30,Anthropology,Gamal,Adam,4,3.6
31,Nursing,Simon,Adam,9,3.3
32,Economics,Tasso,Adamopoulos,63,4.7
33,Management,Jean,Adams,72,2.5
34,Music,Mim,Adams,2,4.5
35,Health Policy  Management,Karam,Adawi,12,3.7
36,Kinesiology,Olasunkanmi,Adegoke,21,3
37,Anthropology,Naomi,Adelson,20,2.5
38,Kinesiology,Chris,Adern,1,3
39,Kinesiology,Omar,Adil,0,
40,Computer Science,Potukuchi,Aditya,0,
41,Visual Arts,Monica,Adler,2,5
42,Psychology,Scott,Adler,69,3.7
43,Art History,Daniel,Adler,10,4.3
44,Social Work,Karin,Adlhoch,30,2.2
45,Social Science,Karin,Adlhoch,0,
46,Social Science,Selimovic,Adnan,2,4
47,Languages,Monique,Adriaen,31,3.4
48,Social Science,Sana,Affara,5,4
49,Mathematics,Md,Afsar Ali,26,4.3
50,Environmental Studies,Susan,Agada,4,2.7
51,Biology,Emily,Agard,75,3.6
52,Accounting,Seema,Agarwal,10,4.6
53,Political Science,Anna,Agathangelou,25,4
54,Social Science,Vijay,Agnew,21,2.8
55,Psychology,Alba,Agostino,9,3.7
56,Economics,Mir,Ahasan Kabir,24,2.5
57,Anthropology,Tania,Ahmad,14,3.4
58,Anthropology,Tania G,Ahmad,0,
59,Health,Farah,Ahmad,12,2.1
60,Computer Science,Marzieh,Ahmadzadeh,73,2.7
61,Health Science,Farah,Ahmed,1,3
62,Sociology,Kritee,Ahmed,1,5
63,Social Science,Anwar,Ahmed,0,
64,Languages,Wolfgang,Ahrens,20,3.8
65,Social Science,Mohammad,Ahshanullah,1,2
66,Health,Julian,Aiken,1,5
67,Public Policy,Kimble,Ainslie,0,
68,English & Liberal Studies,Anna,Ainsworth,15,3.5
69,Psychology,Madison,Aitken,4,3
70,Social Science,Sandhu,Ajay,2,5
71,Geography,Marshia,Akbar,3,1
72,Economics,Rushdie,Akbar,0,
73,Economics,Rushde,Akbar,2,2
74,Gender Studies,Aytak,Akbari-Dibavar,2,5
75,Philosophy,Roxana,Akhbari,0,
76,Information Science,Altay,Aksulu,7,4.4
77,Economics,Ahmet,Akyol,43,3.4
78,Philosophy,Khamaiel,Al Tamimi,6,3
79,Computer Science,Nader,Al Taweel,0,
